2024-12-05 21:07:56,355 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '104.18.29.101', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:56,440 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '34.102.146.192', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:57,677 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.250.199.162', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:57,732 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:57,893 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:57,923 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '34.120.107.143', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,063 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '35.160.50.173', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,069 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '103.43.90.179', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,071 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '34.98.64.218', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,073 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '207.65.33.82', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,075 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '69.173.158.64', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,077 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '15.197.193.217', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,078 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '34.111.113.62', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,080 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.250.76.194', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,221 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '3.6.211.252', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,247 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '35.160.50.173', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:58,366 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '50.116.239.135', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
